rank,name,category,score,percentile,e_total,e_fr,e_thd,e_match,e_unc,w_conf,price_brl,score_lower_95,score_upper_95,n_sources,thd_available,match_available,peakiness,impedance_interaction
132,Sony WF-1000XM4 (Relaxed preset),in-ear,0.000789,90.9,6.917,6.917,0.0,0.0,1.25,0.4444,81.46,0.000679,0.000922,1,False,False,111.0213,False
133,Shure SE310,in-ear,0.000785,90.8,7.0327,7.0327,0.0,0.0,1.25,0.4444,80.46,0.000676,0.000918,1,False,False,111.6958,False
134,Tanchjim Cora,in-ear,0.000783,90.8,4.0207,4.0207,0.0,0.0,1.25,0.4444,141.12,0.000674,0.000916,1,False,False,68.9424,False
135,Moondrop Voyager,in-ear,0.000782,90.7,6.7628,6.7628,0.0,0.0,1.25,0.4444,84.01,0.000673,0.000915,1,False,False,185.6713,False
136,JBL CLUB 950NC,over-ear,0.000781,90.6,6.3299,6.3299,0.0,0.0,1.25,0.4444,89.9,0.000672,0.000913,1,False,False,77.9189,False
137,Koss ESP950 (sample 1),over-ear,0.000779,90.6,6.411,6.411,0.0,0.0,1.25,0.4444,89.0,0.000671,0.000911,1,False,False,58.0729,False
138,Fir Audio VxV,in-ear,0.000778,90.5,7.1066,7.1066,0.0,0.0,1.25,0.4444,80.4,0.00067,0.000909,1,False,False,84.7658,False
139,Sony WI-C200,in-ear,0.000775,90.4,6.8544,6.8544,0.0,0.0,1.25,0.4444,83.68,0.000667,0.000906,1,False,False,55.1104,False
140,Sony MH750,in-ear,0.000774,90.4,6.4055,6.4055,0.0,0.0,0.9851,0.5038,101.66,0.000654,0.000925,2,False,False,51.7057,False
141,Philips SHE3590,in-ear,0.000773,90.3,6.7356,6.7356,0.0,0.0,1.25,0.4444,85.4,0.000665,0.000903,1,False,False,66.9147,False
142,JBL Vibe Buds,in-ear,0.000771,90.2,9.2715,9.2715,0.0,0.0,1.25,0.4444,62.14,0.000664,0.000902,1,False,False,47.7096,False
143,ISN AUDIO Neo 1,in-ear,0.00077,90.2,5.856,5.856,0.0,0.0,1.25,0.4444,98.5,0.000663,0.000901,1,False,False,59.0499,False
144,Skullcandy Aviators,over-ear,0.000767,90.1,6.7868,6.7868,0.0,0.0,1.25,0.4444,85.41,0.00066,0.000896,1,False,False,68.0606,False
145,Moondrop Moca (reference),in-ear,0.000766,90.0,6.902,6.902,0.0,0.0,1.25,0.4444,84.01,0.00066,0.000896,1,False,False,232.9277,False
146,Beyerdynamic MMX150,over-ear,0.000766,89.9,6.8827,6.8827,0.0,0.0,1.25,0.4444,84.25,0.00066,0.000896,1,False,False,70.7807,False
147,JVC HA-FW1000T,in-ear,0.000764,89.9,7.2565,7.2565,0.0,0.0,1.25,0.4444,80.11,0.000658,0.000894,1,False,False,99.4094,False
148,AKG Y50BT,over-ear,0.000764,89.8,6.673,6.673,0.0,0.0,1.25,0.4444,87.22,0.000657,0.000893,1,False,False,52.3239,False
149,Bose QuietComfort 35 II Gaming Headset​,over-ear,0.000763,89.7,7.2075,7.2075,0.0,0.0,1.25,0.4444,80.86,0.000656,0.000892,1,False,False,57.2527,False
150,HyperX Cloud,over-ear,0.000762,89.7,11.6608,11.6608,0.0,0.0,1.25,0.4444,49.99,0.000656,0.000891,1,False,False,88.6799,False
151,Sennheiser Amperior,over-ear,0.000762,89.6,5.3706,5.3706,0.0,0.0,1.7933,0.358,87.52,0.000622,0.000953,2,False,False,75.4742,False
152,Beats Studio 2 (Bluetooth),over-ear,0.000761,89.5,6.8869,6.8869,0.0,0.0,1.25,0.4444,84.79,0.000655,0.00089,1,False,False,58.9962,False
153,Philips SME3580,in-ear,0.00076,89.5,6.2788,6.2788,0.0,0.0,1.25,0.4444,93.12,0.000654,0.000889,1,False,False,74.139,False
154,CMF by Nothing Buds Pro 2,in-ear,0.000758,89.4,7.2558,7.2558,0.0,0.0,1.25,0.4444,80.79,0.000653,0.000886,1,False,False,62.3885,False
155,MEE Audio M6 Pro 2nd Generation,in-ear,0.000757,89.3,5.1292,5.1292,0.0,0.0,1.25,0.4444,114.43,0.000652,0.000885,1,False,False,84.1786,False
156,AKG K267 Tiesto (stage),over-ear,0.000756,89.3,6.1723,6.1723,0.0,0.0,1.25,0.4444,95.29,0.000651,0.000883,1,False,False,85.5514,False
157,Beats Solo (sample 1),over-ear,0.000756,89.2,5.5142,5.5142,0.0,0.0,1.25,0.4444,106.56,0.000651,0.000884,1,False,False,100.6557,False
158,Tin HiFi C1,in-ear,0.000756,89.1,4.8487,4.8487,0.0,0.0,1.7199,0.3677,100.32,0.000621,0.000939,2,False,False,82.0954,False
159,Monster DNA Pro2,over-ear,0.000754,89.0,7.2141,7.2141,0.0,0.0,1.25,0.4444,81.66,0.000649,0.000882,1,False,False,72.6512,False
160,SoundPeats TrueFree,in-ear,0.000752,89.0,7.3515,7.3515,0.0,0.0,1.25,0.4444,80.4,0.000647,0.000879,1,False,False,52.2274,False
161,Beats Tour,in-ear,0.000751,88.9,6.5783,6.5783,0.0,0.0,1.25,0.4444,89.9,0.000647,0.000879,1,False,False,79.186,False
